,Date,y_actual 1,y_predict 1,y_actual 2,y_predict 2,y_actual 3,y_predict 3
4674,2022-11-14,4.177396767909794,7804.623574950115,4.552296851110248,-5711.886605372686,3.8268977542458993,-26826.52329036166
4675,2022-11-15,4.167296779268342,7804.644415511589,4.514496890007084,-5711.891825003811,3.755897839895586,-26826.562147725057
4676,2022-11-16,4.220696719214245,7804.635731944308,4.47729692828651,-5711.93120949321,3.6926979161358693,-26826.617195656538
4677,2022-11-17,4.220696719214245,7804.604471102097,4.47729692828651,-5711.979609709098,3.6926979161358693,-26826.673862644824
4678,2022-11-18,4.260596674342364,7804.611417955922,4.4525969537032255,-5711.955409601154,3.6775979343515073,-26826.63986245185
4679,2022-11-21,4.265296669056704,7804.58536725408,4.438096968623969,-5711.995743114394,3.681197930008706,-26826.6690054744
4680,2022-11-22,4.3018966278960304,7804.552369698413,4.473196932505479,-5712.046515889884,3.744097854130322,-26826.71433906503
4681,2022-11-23,4.3195966079904595,7804.534134207122,4.310197100235221,-5712.094441593852,3.605398021448794,-26826.782339450976
4682,2022-11-24,4.267296666807486,7804.531529136939,4.22759718523201,-5712.114371094512,3.504798142805955,-26826.81472058714
4683,2022-11-25,4.247696688849814,7804.555843125325,4.271697139852368,-5712.095390617693,3.4861981652437604,-26826.798530019056
4684,2022-11-28,4.257496677828651,7804.550632984957,4.387397020795122,-5712.102033784579,3.5735980598102026,-26826.80500624629
4685,2022-11-29,4.263096671530842,7804.546291201316,4.366397042404475,-5712.13335157133,3.5313981107174808,-26826.85681606415
4686,2022-11-28,4.257496864058251,15016.086474928885,4.38739707334889,2423.6407299013567,3.573597901755968,-22862.513489513094
4687,2022-11-29,4.263096858428482,15016.074818156729,4.366397093209416,2423.6190455005403,3.5313979527008454,-22862.547464612762
4688,2022-11-30,4.26259685893114,15016.076760952088,4.256097197524477,2423.63375991538,3.4168980909280604,-22862.510253789318
4689,2022-12-01,4.241396880243837,15016.020419886661,4.307697148724322,2423.566899679529,3.481898012458463,-22862.589529021876
4690,2022-12-02,4.263196858327951,15016.028191068099,4.344297114110258,2423.592714442406,3.578297896082013,-22862.540993165207
4691,2022-12-05,4.26009686144443,15016.055390203132,4.375397084697761,2423.622401419714,3.611297856243602,-22862.50863592743
4692,2022-12-06,4.299396821935516,15016.051504612413,4.218297233273429,2423.605621823844,3.501197989159028,-22862.53775744143
4693,2022-12-07,4.301396819924884,15016.061218589211,4.209497241595935,2423.6107847764197,3.477398017890973,-22862.539375303317
4694,2022-12-08,4.287996833396116,15016.055390203132,4.236197216344692,2423.5983936902385,3.4462980554356575,-22862.560407507874
4695,2022-12-09,4.250296871296525,15016.078703747447,4.1782972711030055,2423.641504344243,3.4821980120962954,-22862.48922158476
4696,2022-12-12,4.231696889995401,15016.088417724244,4.255697197902773,2423.649506920735,3.584597888476498,-22862.48598586098
4697,2022-12-13,4.252696868883767,15016.06801837297,4.253197200267122,2423.6311784390923,3.6824977702892117,-22862.498928756093
4698,2022-12-14,4.272996848475854,15016.082589338166,4.212697238569569,2423.6376321298117,3.6619977950373155,-22862.50540020365
4699,2022-12-15,4.306096815199899,15016.092303314963,4.271397183054663,2423.652862839909,3.678597774997387,-22862.482750137206
4700,2022-12-16,4.28339683802057,15016.120473847677,4.321097136051414,2423.6913268365956,3.747197692181781,-22862.430978556757
4701,2022-12-19,4.28339683802057,15016.15155857343,4.321097136051414,2423.720755666275,3.747197692181781,-22862.406710628424
4702,2022-12-20,4.246696874915663,15016.098131701043,4.3740970859272235,2423.6975223796862,3.8410975788233928,-22862.374353390645
4703,2022-12-21,4.436096684508834,16206.453705483227,4.351197107584657,3853.010862236732,3.88269752860285,-21526.720967310463
4704,2022-12-22,4.375996744928319,17586.05697523878,4.361497097843541,5158.815534290014,3.8144976109355664,-20780.147273618248
4705,2022-12-23,4.342896778204275,18108.49018978355,4.425797037032494,5372.432697096821,3.8747975381399242,-21266.623782870476
4706,2022-12-26,4.342896778204275,17804.238722501865,4.425797037032494,4218.783593359489,3.8747975381399242,-23572.51379734356
4707,2022-12-27,4.355296765738357,18928.891871417247,4.369897089899329,3927.3132360778445,3.7388977022017453,-26375.56629884543
4708,2022-12-28,4.4827966375605826,18769.170779318258,4.35339710550403,3028.5869809314777,3.6826977700477666,-28579.170231113018
4709,2022-12-29,4.59369652607105,18769.126095024985,4.457597006957981,3028.5632313496308,3.7180977273120166,-28579.160523941682
4710,2022-12-30,4.578996540849194,18769.133866206426,4.24739720575241,3028.5849157504476,3.5579979205886714,-28579.128166703904
4711,2023-01-02,4.593896525869987,18769.126095024985,4.207697243298266,3028.5769131739557,3.5320979518557882,-28579.14758104657
4712,2023-01-03,4.584496535319957,18769.145522978582,4.247197205941559,3028.5931764745683,3.618797847189417,-28579.141109599015
4713,2023-01-04,4.656496462937213,18769.141637387864,4.217897233651724,3028.559617282828,3.539197943284494,-28579.218766969683
4714,2023-01-05,4.575496544367799,18769.14746577394,4.144697302879852,3028.5702013356076,3.4399980630411724,-28579.205824074572
4715,2023-01-06,4.573196546680026,18769.118323843548,4.232097220222224,3028.549807672935,3.5034979863824116,-28579.20905979835
4716,2023-01-09,4.573196546680026,18769.137751797145,4.232097220222224,3028.5650383830325,3.5034979863824116,-28579.19288117946
4717,2023-01-10,4.577796542055573,18769.11055266211,4.204697246135485,3028.5544543302526,3.5475979331438077,-28579.173466836794
4718,2023-01-11,4.638296481233962,18769.10666707139,4.082497361704844,3028.529672157891,3.3697981477883383,-28579.218766969683
4719,2023-01-12,4.6376964818371516,18769.122209434267,4.126397320186883,3028.51934625274,3.3914981215915647,-28579.280245721464
4720,2023-01-13,4.628196491387652,18769.122209434267,4.170197278763496,3028.5301884531486,3.478698016321581,-28579.251124207465
4721,2023-01-16,4.648296471180803,18769.10860986675,4.2273972246672,3028.5214114337705,3.5097979787768963,-28579.247888483686
4722,2023-01-17,4.654496464947844,18769.087239117795,4.210297240839344,3028.5020503616124,3.4526980477094202,-28579.25759565502
4723,2023-01-18,4.664296455095749,18769.087239117795,4.124997321510918,3028.500243328211,3.4415980611096133,-28579.267302826353
4724,2023-01-19,4.663696455698939,18769.060039982764,4.182597267036327,3028.4852707657424,3.494697997005988,-28579.25759565502
4725,2023-01-20,4.664496454894686,18769.11055266211,4.198997251526199,3028.5394817677843,3.5034979863824116,-28579.19611690324
4726,2023-01-23,4.653496465953161,18769.133866206426,4.234097218330746,3028.568910597464,3.536597946423278,-28579.163759665462
4727,2023-01-24,4.6414964780169505,18769.139694592504,4.2010972495401475,3028.5492913776775,3.506897982277848,-28579.212295522128
4728,2023-01-25,4.638296481233962,18769.1688365229,4.106297339196246,3028.56555467829,3.4165980912902274,-28579.22523841724
4729,2023-01-26,4.611796507874833,18769.180493295054,4.104197341182298,3028.594725360341,3.392698120142895,-28579.170231113018
4730,2023-01-27,4.635996483546188,18769.19603565793,4.2885971667879454,3028.616151613529,3.524597960909973,-28579.137873875236
4731,2023-01-30,4.624996494604663,18769.20574963473,4.472396992961037,3028.6311241759972,3.6398978217169784,-28579.121695256348
4732,2023-01-31,4.6440964754031295,18769.19409286257,4.464397000526953,3028.6040186749765,3.673497781154233,-28579.163759665462
4733,2023-02-01,4.6901964290580676,18769.19603565793,4.420797041761191,3028.593692769826,3.6097978580544385,-28579.189645455685
4734,2023-02-02,4.7258963931682905,18769.176607704336,4.481996983881938,3028.5384491772693,3.6578977999869364,-28579.30289578791
4735,2023-02-03,4.734496384522574,18769.215463611527,4.516996950781058,3028.58646463622,3.731997710531595,-28579.247888483686
4736,2023-02-06,4.746796372157189,18769.199921248648,4.517496950308187,3028.602469789204,3.701597747231222,-28579.18317400813
4737,2023-02-07,4.714196404930486,18769.217406406886,4.615396857720297,3028.622605304248,3.743497696648512,-28579.160523941682
4738,2023-02-08,4.74989636904071,20016.99715402885,4.630896843061334,4522.767656945737,3.8048976225249227,-27181.08840832367
4739,2023-02-09,4.782996335764754,21456.544403205513,4.639996834455106,5889.1244693937215,3.860797555041068,-26379.031759011577
4740,2023-02-10,4.785696333050401,22129.431575984243,4.616896856301688,6239.22479982625,3.8147976105733994,-26762.74329893918
4741,2023-02-13,4.785696333050401,21728.135537697875,4.616896856301688,4983.706769562019,3.8147976105733994,-29163.642252841233
4742,2023-02-14,4.790196328526479,22682.075258369954,4.722596756337028,4532.278331884865,3.9524974443385745,-32092.32173002058
4743,2023-02-15,4.817396301181887,22522.414392927112,4.6932967840471935,3633.61893697435,3.9155974888851617,-34295.85609422693
4744,2023-02-16,4.806396312240362,22522.427992494628,4.697396780169662,3633.627197698471,3.8767975357254754,-34295.85932995071
4745,2023-02-17,4.781096337674854,22522.46684840182,4.813596670274739,3633.667468728559,3.943197455565763,-34295.82373698916
4746,2023-02-20,4.7571963617019035,22522.45907722038,4.778296703659342,3633.6444935895984,3.914097490695998,-34295.87227284582
4747,2023-02-21,4.768696350140771,22522.45907722038,4.815796668194112,3633.6679850238165,3.9199974835733733,-34295.810794094046
4748,2023-02-22,4.848496269916563,22522.46684840182,4.876396610882303,3633.6654035475285,3.992497396049591,-34295.82697271293
4749,2023-02-23,4.842696275747395,22522.443534857506,4.884996602748943,3633.6385561941365,4.05559731987372,-34295.85932995071
4750,2023-02-24,4.840796277657495,22522.45907722038,4.856496629702517,3633.657142823408,3.951697445304354,-34295.83667988427
4751,2023-02-27,4.837496280975038,22522.45713442502,4.88609660170863,3633.6499146898027,3.9576974380610066,-34295.84962277938
4752,2023-02-28,4.9062962118093045,22522.470733992537,5.0083964860446955,3633.670566500104,3.9636974308176587,-34295.8172655416
4753,2023-03-01,4.97579614193985,22522.482390764697,5.070096427692572,3633.684506472058,3.9912973974982604,-34295.797851198935
4754,2023-03-02,4.949096168781784,22522.50181871829,4.869996616935035,3633.7046419871017,3.903197503854746,-34295.778436856264
4755,2023-03-03,4.869296249005993,22522.521246671888,4.586196885335887,3633.724261206888,3.6986977507321734,-34295.76872968493
4756,2023-03-06,4.764996353860439,22522.525132262606,3.976397462047799,3633.735877850183,3.5731979022388582,-34295.74607961848
